Transaction_ID,Products
1,"Bolsa, Camiseta"
2,"Zapatillas, Gorra, Camiseta, Pantalones"
3,"Zapatillas, Sudadera, Calcetines"
4,"Toalla, Balón, Bolsa, Botella"
5,"Zapatillas, Sudadera, Calcetines"
6,"Zapatillas, Balón, Bolsa"
7,"Bolsa, Zapatillas"
8,"Pantalones, Calcetines"
9,"Toalla, Gorra, Camiseta, Pantalones"
10,"Pantalones, Sudadera, Zapatillas"
11,"Zapatillas, Sudadera, Calcetines"
12,"Gorra, Camiseta, Pantalones"
13,"Sudadera, Bolsa, Pantalones"
14,Sudadera
15,"Gorra, Camiseta, Pantalones"
16,"Zapatillas, Sudadera, Calcetines, Camiseta"
17,"Toalla, Sudadera, Pantalones, Camiseta"
18,"Gorra, Bolsa, Camiseta, Pantalones"
19,"Toalla, Gorra, Camiseta, Pantalones"
20,"Sudadera, Zapatillas"
21,"Toalla, Sudadera, Camiseta"
22,"Zapatillas, Balón, Bolsa"
23,"Zapatillas, Balón, Bolsa"
24,"Toalla, Zapatillas, Gorra"
25,"Toalla, Bolsa, Botella"
26,"Toalla, Zapatillas, Camiseta, Calcetines"
27,"Toalla, Sudadera, Camiseta"
28,"Toalla, Bolsa, Calcetines, Botella"
29,"Zapatillas, Bolsa, Pantalones, Calcetines"
30,"Toalla, Bolsa, Botella"
31,"Zapatillas, Sudadera, Calcetines, Camiseta"
32,"Zapatillas, Balón, Bolsa"
33,"Gorra, Calcetines, Pantalones"
34,"Zapatillas, Balón, Bolsa, Botella"
35,"Toalla, Zapatillas, Balón, Bolsa"
36,"Zapatillas, Sudadera, Calcetines, Camiseta"
37,"Toalla, Bolsa, Botella"
38,"Zapatillas, Balón, Bolsa"
39,"Zapatillas, Balón, Bolsa"
40,"Zapatillas, Sudadera, Calcetines"
41,"Zapatillas, Sudadera, Calcetines, Camiseta"
42,"Toalla, Bolsa, Botella"
43,"Toalla, Sudadera, Pantalones, Camiseta"
44,"Pantalones, Camiseta, Botella, Toalla"
45,"Zapatillas, Calcetines, Toalla, Sudadera, Bolsa"
46,"Toalla, Sudadera, Camiseta"
47,"Toalla, Sudadera, Botella, Camiseta"
48,"Zapatillas, Sudadera, Calcetines"
49,"Gorra, Zapatillas"
50,"Zapatillas, Toalla, Sudadera, Balón, Camiseta"
51,"Gorra, Camiseta, Pantalones"
52,"Zapatillas, Balón, Bolsa"
53,"Toalla, Sudadera, Camiseta"
54,"Toalla, Bolsa, Botella"
55,"Toalla, Sudadera, Camiseta"
56,"Toalla, Gorra, Bolsa, Botella"
57,Camiseta
58,"Toalla, Bolsa, Botella"
59,"Pantalones, Gorra, Calcetines, Zapatillas"
60,"Toalla, Sudadera, Camiseta"
61,"Toalla, Sudadera, Camiseta"
62,"Toalla, Sudadera, Camiseta"
63,Toalla
64,"Gorra, Camiseta, Sudadera"
