Transaction_ID,Products
1,"Camiseta, Calcetines"
2,"Gorra, Zapatillas, Pantalones"
3,"Balón, Bolsa"
4,"Camiseta, Pantalones"
5,"Gorra, Botella, Camiseta"
6,"Botella, Bolsa, Gorra"
7,"Balón, Calcetines, Camiseta, Bolsa, Pantalones"
8,"Sudadera, Calcetines, Zapatillas, Pantalones, Toalla"
9,"Pantalones, Bolsa"
10,"Sudadera, Balón"
11,"Camiseta, Toalla, Pantalones, Gorra"
12,"Botella, Calcetines"
13,"Balón, Gorra, Pantalones, Camiseta"
14,"Calcetines, Pantalones, Gorra"
15,"Bolsa, Calcetines"
16,"Sudadera, Zapatillas, Balón, Botella, Pantalones"
17,"Pantalones, Zapatillas, Gorra, Balón"
18,"Bolsa, Calcetines, Gorra, Sudadera, Zapatillas"
19,"Gorra, Camiseta"
20,"Bolsa, Calcetines, Pantalones, Toalla"
21,"Gorra, Toalla, Bolsa, Sudadera"
22,"Zapatillas, Calcetines, Balón, Pantalones, Sudadera"
23,"Balón, Bolsa, Botella, Zapatillas"
24,"Zapatillas, Botella, Toalla"
25,"Camiseta, Pantalones"
26,"Zapatillas, Bolsa, Pantalones"
27,"Bolsa, Toalla, Calcetines, Botella, Camiseta"
28,"Botella, Calcetines"
29,"Pantalones, Calcetines, Bolsa, Balón"
30,"Camiseta, Calcetines, Zapatillas, Botella, Balón"
31,"Botella, Gorra, Zapatillas, Toalla"
32,"Botella, Balón, Camiseta"
33,"Toalla, Camiseta, Pantalones, Zapatillas"
34,"Gorra, Camiseta, Balón, Calcetines"
35,"Pantalones, Toalla"
36,"Botella, Zapatillas"
37,"Toalla, Botella, Zapatillas"
38,"Botella, Bolsa, Gorra, Calcetines"
39,"Calcetines, Bolsa, Sudadera"
40,"Botella, Toalla, Pantalones, Balón, Bolsa"
41,"Sudadera, Camiseta"
42,"Balón, Gorra, Camiseta"
43,"Camiseta, Gorra"
44,"Camiseta, Sudadera"
45,"Botella, Gorra"
46,"Toalla, Gorra, Zapatillas, Sudadera"
47,"Gorra, Toalla, Bolsa, Pantalones, Camiseta"
48,"Bolsa, Sudadera"
49,"Bolsa, Toalla, Camiseta, Sudadera, Balón"
50,"Camiseta, Bolsa"
51,"Pantalones, Gorra, Botella, Balón"
52,"Zapatillas, Bolsa, Balón, Toalla, Gorra"
53,"Pantalones, Toalla, Balón"
54,"Botella, Camiseta"
55,"Gorra, Zapatillas"
56,"Toalla, Balón, Gorra, Bolsa, Botella"
57,"Zapatillas, Bolsa"
58,"Bolsa, Calcetines"
59,"Calcetines, Bolsa, Toalla, Pantalones, Botella"
60,"Gorra, Camiseta, Botella, Sudadera"
61,"Camiseta, Balón, Toalla, Calcetines"
62,"Camiseta, Botella, Pantalones"
63,"Pantalones, Balón, Gorra"
64,"Pantalones, Gorra, Camiseta, Calcetines, Toalla"
65,"Balón, Botella, Sudadera, Zapatillas, Pantalones"
66,"Gorra, Calcetines, Bolsa, Pantalones"
67,"Toalla, Sudadera, Pantalones, Camiseta"
68,"Balón, Pantalones, Botella, Calcetines, Toalla"
69,"Zapatillas, Sudadera, Pantalones, Toalla"
70,"Calcetines, Zapatillas, Toalla, Bolsa"
71,"Balón, Botella, Camiseta, Sudadera"
72,"Pantalones, Zapatillas, Calcetines, Camiseta"
73,"Botella, Zapatillas"
74,"Calcetines, Gorra, Sudadera, Pantalones"
75,"Botella, Toalla, Calcetines, Bolsa"
76,"Pantalones, Bolsa"
77,"Camiseta, Balón, Sudadera, Bolsa"
