ID;make;model;version;months_old;power;sale_type;num_owners;gear_type;fuel_type;kms;price
97860;Porsche;911;Carrera 4 S Coup�;240;210;classic;3;manual;gasoline;202000;999999
27821;Ford;Mustang;Gt500 Cabrio Vendido;54;487;used;1;manual;gasoline;30000;685000
97801;Porsche;911;3.3 Turbo Targa (Precio A Consultar);358;220;used;;manual;gasoline;56300;555555
98251;Porsche;911;R Unidad 343 De 991-Iva Deducible;14;368;used;1;manual;gasoline;2800;470000
98250;Porsche;911;Gt2 Rs;3;515;used;;;gasoline;10;450000
98222;Porsche;911;911 R;17;368;used;1;manual;gasoline;145;445000
62404;Bentley;Continental;Supersports;6;522;used;;automatic;gasoline;3500;399000
29736;Mercedes-Benz;Cla200;Amg Line;26;115;used;;manual;gasoline;29000;330000
62403;Bentley;Continental;"Supersports \""One Of 710 Cars\""";5;522;used;;automatic;gasoline;1200;302900
62402;Bentley;Continental;W12 Supersports - Edici�n Limitada - Carbono;14;522;used;;automatic;gasoline;17900;289700
62401;Bentley;Continental;Supersports 710 Cvs;7;522;used;;automatic;gasoline;9900;284900
62294;Bentley;Continental;Gt Convertible V8 S;8;388;demo;1;automatic;gasoline;2500;263724
98221;Porsche;911;Gt3 Rs 4.0 Pdk *Clubsport*;24;368;used;;automatic;gasoline;1574;259900
98249;Porsche;911;Turbo S Cabriolet;6;427;used;;automatic;gasoline;620;254900
98258;Porsche;911;Gt3;;368;almost_new;;automatic;gasoline;1;246700
98191;Porsche;911;Gt3 Rs Pdk;16;368;used;1;automatic;gasoline;5100;245900
62400;Bentley;Continental;Gt Speed 642 Cvs *Black Edition*;18;472;used;;automatic;gasoline;3600;244900
98248;Porsche;911;Turbo S Cabriolet Pdk;12;427;used;1;automatic;gasoline;7900;240900
98247;Porsche;911;Gt3 Rs Pdk;3;368;used;;automatic;gasoline;300;240000
98246;Porsche;911;Gt3 Rs Pdk A Estrenar Entrega Inmediata;14;368;used;;automatic;gasoline;12;239900
62399;Bentley;Continental;Gt V8 Convertible;34;373;used;;automatic;;10000;236000
62398;Bentley;Continental;Gtc Speed *2017* Black Edition;23;472;used;;automatic;gasoline;3950;235900
82883;Land;RoverRangeRover;5.0 Sv Autobiography Lwb *Modell 2017*;12;405;used;;automatic;gasoline;150;235900
62397;Bentley;Continental;Gt Speed Continental Coup� W12 Gt Speed 635 Gt Spe;2;467;;;automatic;gasoline;;235000
62396;Bentley;Continental;Gtc Speed *Black Edition* Modell 2017;19;472;used;;automatic;gasoline;9400;234900
98257;Porsche;911;Gt3 Pdk En Stock 170.000.-� Sin Impuetos;1;368;used;;automatic;gasoline;50;232900
98190;Porsche;911;Gt3 Rs Pdk, Frenos Ceramicos, Lift Del, Akrapovic;30;368;used;1;automatic;gasoline;14000;229900
62395;Bentley;Continental;Gtc Speed 2017 *Ceramic Brakes*;17;472;used;;automatic;gasoline;3600;229900
62292;Bentley;Continental;Gt Speed W12 642Cv;11;472;almost_new;;automatic;gasoline;4069;229500
62293;Bentley;Continental;Gt Speed 642Cv Concesionario Oficial Bentley;11;472;almost_new;;automatic;gasoline;4069;229500
98220;Porsche;911;Gt3 Rs Pdk Clubsport *Sport Chrono*;23;368;used;;automatic;gasoline;2609;227900
12075;Bmw;118;118D;10;111;used;1;automatic;diesel;21986;226990
98219;Porsche;911;991 Carrera Turbo S Cabrio Pdk *Facelift*;22;427;used;;automatic;gasoline;5000;226900
2045;Audi;A3;Sportback 2.0Tdi Attraction S-Tronic;55;103;used;;automatic;diesel;82000;225000
98245;Porsche;911;Gt3 Rs Pdk;3;368;used;;automatic;gasoline;160;225000
98256;Porsche;911;Gt3 Pdk;2;368;used;;automatic;gasoline;5;225000
62394;Bentley;Continental;Gtc Speed *Modell 2016*;23;467;used;;automatic;gasoline;4729;223900
98218;Porsche;911;991 Gt3 Rs Clubsport *918 Spyder Seats*;23;368;used;;automatic;gasoline;6820;222900
98217;Porsche;911;Gt3 Rs Pdk *Sport Chrono* Liftsystem;24;368;used;;automatic;gasoline;10000;222500
97850;Porsche;911;Carrera Targa Precio A Consultar;250;210;used;;manual;gasoline;110300;222222
98189;Porsche;911;Gt3 Rs Pdk;29;368;used;1;automatic;gasoline;1800;220000
62393;Bentley;Continental;Gtc Speed *Black Edition*;12;472;used;;automatic;gasoline;8200;219900
62392;Bentley;Continental;Gt Convertible V8;19;373;used;;automatic;gasoline;19000;216000
98216;Porsche;911;991 Gt3 Rs Pdk *Clubsportpaket*;22;368;used;;automatic;gasoline;2900;212900
62391;Bentley;Continental;Gtc Speed *Modell 2016* Naim Soundsystem;21;467;used;;automatic;gasoline;13000;212500
98215;Porsche;911;991 Turbo S Cabrio Pdk *B&O*;25;427;used;;automatic;gasoline;9558;211500
62390;Bentley;Continental;Gt Speed Continental Coup� W12 Gt Speed 635 Gt Spe;9;467;used;;automatic;gasoline;11000;210000
98214;Porsche;911;Gt3 Rs;16;368;used;;automatic;gasoline;2900;210000
98213;Porsche;911;(1963-1988) Turbo S Cabrio 580 Cv Nacional Solo 4.;20;427;used;;automatic;gasoline;8000;209000
98188;Porsche;911;Gt3 Rs Pdk;31;368;used;1;automatic;gasoline;7900;209000
62291;Bentley;Continental;W12 Gt Speed 635Cv - Concesionario Oficial;25;467;used;1;automatic;gasoline;18200;208900
62389;Bentley;Continental;W12 Gt Speed 635Cv - Concesionario Oficial;25;467;used;1;automatic;gasoline;18200;208900
98212;Porsche;911;Turbo S Cabrio *Carbon/Cer�micos/Sport Chrono*;23;427;used;;automatic;gasoline;9150;206900
97826;Porsche;911;3.3 Turbo Coup� Nacional --Libro De Revisiones;309;261;used;;manual;gasoline;48000;205000
97333;Porsche;Cayenne;Turbo S *Panor�mico* Burmester High-End;18;419;used;;automatic;gasoline;7000;204500
47257;Renault;Kangoo;1.5Dci Confort Expression 80;145;59;used;;manual;diesel;200000;200000
