cliente_id,fecha_corte,edad,estado_civil,tiene_hijos,tipo_vivienda,tiene_coche,tiene_moto,tiene_mascota,ingreso,nivel_educacion,situacion_laboral,num_personas_hogar,ccaa,tiene_hipoteca,seguro_coche_t0,seguro_moto_t0,seguro_vehiculo_electrico_t0,seguro_hogar_t0,seguro_inquilino_t0,seguro_salud_t0,seguro_dental_t0,seguro_vida_t0,seguro_accidentes_t0,seguro_decesos_t0,seguro_viaje_t0,seguro_mascotas_t0,contrató_coche,fecha_contratacion_coche,contrató_moto,fecha_contratacion_moto,contrató_vehiculo_electrico,fecha_contratacion_vehiculo_electrico,contrató_hogar,fecha_contratacion_hogar,contrató_inquilino,fecha_contratacion_inquilino,contrató_salud,fecha_contratacion_salud,contrató_dental,fecha_contratacion_dental,contrató_vida,fecha_contratacion_vida,contrató_accidentes,fecha_contratacion_accidentes,contrató_decesos,fecha_contratacion_decesos,contrató_viaje,fecha_contratacion_viaje,contrató_mascotas,fecha_contratacion_mascotas
C00000,2023-01-01,55.0,casado,1,inquilino,0,0,0,medio,secundaria,empleado,3,Galicia,0,0,0,0,0,0,1,1,1,1,0,1,0,0,,0,,0,,0,,1,2023-12-29,0,,0,,0,,0,,0,,0,,0,
C00001,2023-01-01,67.0,soltero,0,propietario,1,0,0,bajo,fp,jubilado,2,Baleares,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00002,2023-01-01,65.0,soltero,0,propietario,1,0,0,bajo,secundaria,empleado,1,Madrid,0,1,0,0,1,0,1,1,0,0,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00003,2023-01-01,45.0,soltero,0,inquilino,1,0,0,medio,fp,empleado,1,Andalucia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00004,2023-01-01,31.0,casado,1,propietario,1,0,0,bajo,postgrado,empleado,1,Valencia,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,0,,0,,0,,0,,1,2023-07-26,0,,0,,0,,0,,0,,1,2023-08-23
C00005,2023-01-01,54.0,divorciado,0,propietario,0,0,0,bajo,secundaria,empleado,2,Andalucia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00006,2023-01-01,35.0,casado,1,propietario,0,0,1,medio,universitaria,empleado,2,Madrid,0,0,0,0,1,0,0,1,1,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00007,2023-01-01,49.0,divorciado,1,propietario,1,0,0,alto,secundaria,empleado,1,Castilla y Leon,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,1,2023-11-23,0,,0,,0,,0,,1,2023-07-06,0,,0,,0,,0,,0,
C00008,2023-01-01,36.0,casado,1,propietario,0,0,0,medio,fp,empleado,3,Galicia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00009,2023-01-01,18.0,soltero,0,inquilino,1,1,1,alto,universitaria,autonomo,1,Castilla-La Mancha,0,1,1,1,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00010,2023-01-01,55.0,casado,0,propietario,1,0,0,alto,fp,empleado,4,Andalucia,0,1,0,0,1,0,0,0,0,1,0,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00011,2023-01-01,56.0,casado,1,inquilino,0,0,0,medio,secundaria,empleado,3,Valencia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,1,2023-01-22,0,,0,,0,,0,
C00012,2023-01-01,64.0,casado,1,inquilino,1,0,0,bajo,secundaria,empleado,2,Cataluna,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00013,2023-01-01,57.0,casado,1,propietario,1,0,0,bajo,secundaria,empleado,3,Cantabria,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00014,2023-01-01,49.0,casado,0,propietario,0,1,0,bajo,postgrado,empleado,4,Galicia,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00015,2023-01-01,34.0,casado,1,propietario,0,0,1,medio,secundaria,empleado,1,Canarias,1,0,0,0,1,0,1,0,0,0,0,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00016,2023-01-01,52.0,soltero,1,propietario,1,0,0,medio,fp,empleado,1,Andalucia,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00017,2023-01-01,33.0,soltero,0,propietario,1,0,1,bajo,fp,empleado,2,Madrid,1,1,0,0,1,0,0,0,0,1,0,0,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00018,2023-01-01,44.0,soltero,1,inquilino,0,0,0,bajo,postgrado,empleado,1,Ceuta,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0,,0,,0,,0,,1,2023-10-10,0,,0,,0,,0,,0,,0,
C00019,2023-01-01,53.0,soltero,1,propietario,1,0,1,bajo,fp,autonomo,1,Valencia,0,1,0,0,1,0,1,0,0,1,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00020,2023-01-01,81.0,casado,1,propietario,1,0,0,bajo,secundaria,jubilado,3,Pais Vasco,0,1,0,0,1,0,0,0,0,1,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00021,2023-01-01,41.0,soltero,1,inquilino,1,0,1,alto,universitaria,empleado,2,Madrid,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,0,,0,,1,2023-12-06,1,2023-01-20,0,,0,,0,,0,,0,,0,
C00022,2023-01-01,60.0,casado,0,propietario,1,0,0,alto,secundaria,jubilado,2,Andalucia,0,1,0,0,1,0,0,0,0,0,1,1,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00023,2023-01-01,51.0,casado,1,propietario,0,0,0,medio,secundaria,empleado,3,Andalucia,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00024,2023-01-01,55.0,soltero,0,propietario,1,0,0,medio,secundaria,desempleado,2,Andalucia,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00025,2023-01-01,70.0,casado,1,propietario,1,0,1,medio,fp,jubilado,3,Cataluna,0,1,0,0,1,0,0,0,1,0,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00026,2023-01-01,51.0,casado,0,inquilino,1,0,0,medio,postgrado,jubilado,1,Cataluna,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,1,2023-07-10,0,,0,,0,,0,,0,,0,,0,
C00027,2023-01-01,68.0,soltero,1,inquilino,0,0,1,bajo,secundaria,empleado,2,Extremadura,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,0,,0,,0,,1,2023-02-06,1,2023-08-22,0,,0,,0,,0,,0,,0,
C00028,2023-01-01,69.0,divorciado,1,propietario,1,0,0,medio,fp,jubilado,2,Asturias,0,1,0,0,1,0,0,0,0,0,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00029,2023-01-01,47.0,soltero,1,propietario,0,0,0,bajo,universitaria,autonomo,1,Andalucia,0,0,0,0,1,0,0,0,1,1,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00030,2023-01-01,37.0,soltero,1,propietario,0,0,1,bajo,fp,empleado,2,Andalucia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
C00031,2023-01-01,59.0,casado,1,propietario,1,0,0,medio,secundaria,empleado,3,Andalucia,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
